"state","grand_total_t_10m2","building_commercial_industrial","building_commercial_innercity","building_highrise","building_lightweight","building_multifamily","building_singlefamily","building_skyscraper","building","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_local","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_track","street_tunnel"
"US_NM",1553223033.12345,226957574.538548,2207157.55503893,537832.876464844,28896792.2671747,764815.413331985,100988152.097001,316816.59375,360668849.866197,23582156.8369141,13807134.0416107,63276450.3667965,100665751.228868,680874.261383057,654662.706912994,47204008.4984741,0,0,0,48630414.9745941,0,90856.0902099609,2489131.08496094,2605685.23036957,611158561.813202,663356.052368164,110386522.702637,549557.773004532,126936799.656738,80704809.7055054,72193786.2809296,1043258424.44596,35090402.0211835,480861.215896606
"US_NV",1132558290.91541,265841463.473392,7405312.80508232,6844844.38244629,38326471.1588929,10018127.93927,178917493.700974,52851817,560206289.281315,24684501.362257,10609816.1209908,153091235.542848,188385416.78792,297391.882293701,139110.444610596,29376524.0140381,0,0,0,30412047.6994629,11527.3804931641,587502.34197998,3047801.48876953,1241193.43173218,134320076.498384,815778.359008789,79000422.8725586,261759.354118347,16031582.4003906,42414614.5237732,36565962.6688156,353564389.867192,38932865.3626455,930631.940551758
"US_NY",5045558777.38564,531460489.924728,263946662.391754,105577453.927979,126556401.709211,481478134.416893,1449048149.1765,113721797.396484,3071789246.19612,24949375.8686523,57083141.6741409,464825180.369598,546857918.082779,6833508.56161499,1553464.82905579,87412995.3345642,11158794.7324219,4733350.3125,60736861.3569336,178122121.738312,11440.6220703125,5681634.95083618,20790668.6676178,9595897.86503601,644950948.50592,5558746.86451721,274072595.520752,2023843.63547897,30406236.0852356,96476380.6222916,156787047.752693,1248791920.11122,4186036.64000511,3943020.10241699
"US_OH",4879456285.07001,729159079.046362,41217976.1124802,11505960.2128296,164980071.761342,207845445.479279,1711184348.68082,9494641.96875,2875387317.85137,30048801.90625,14072290.4369965,462105397.192444,506226529.414164,2462928.84775543,982305.727592468,123354738.427727,208300.859375,1553865.625,474386.53125,129850717.854805,27514.9821777344,787094.338287354,16917542.4853516,11047697.3420105,689394882.808662,4521281.20532227,277879712.205748,2330038.73957443,71461637.2259417,113133015.332577,178986512.477417,1367991979.27418,1318688.77475452,1000907.53704834
"US_OK",2454790593.24697,277187942.439831,4858908.34753799,1308260.08965683,72877276.0272169,15364959.9031715,599105076.976514,4018585.77246094,974720817.605981,26639894.0009766,15016933.8771429,233029282.569012,274686023.231792,1327385.52389526,583834.239070892,67001375.9066772,0,0,0,68996132.7686157,44775.5278320312,38766.9609375,7188770.39978027,7787042.78089714,706520363.137463,1917107.92654419,140684760.686707,1642344.17794275,78078482.1462402,79917754.3162193,104157049.605465,1136387489.69022,8118207.70977056,376313.698486328
"US_OR",1709241695.41148,223655364.236217,10067924.9414473,3628936.51422119,43549182.9743071,16463027.8815994,363572112.429543,956596.25,661893369.947903,20210969.9664307,19895641.5921669,183127772.734776,223234354.842068,1404615.57962036,412058.000350952,50305019.2357178,0,8599.4453125,0,53674136.4093933,125110.875,1418736.32519531,4419907.53515625,5746975.36306763,435045376.577888,1181706.78210449,78793480.3486328,1212078.68634129,10900155.8377686,77807506.1850586,78998864.0773926,770440452.529694,75588803.3873033,745421.386047363
"US_PA",5085899215.95951,671488942.685951,125057533.874771,22839240.2142334,133382861.063897,548392513.615905,1524134320.87008,14793665.5742188,3040088196.3539,19662344.0324707,60148401.3675265,405538753.440846,485349501.15154,4304563.69539642,1611576.12667847,115298414.714096,1046674.70605469,408454.078125,6892714,133491917.776733,502060.665283203,3427581.27651978,19707743.1899414,11420093.2187042,760776410.424839,5267140.94784546,279865760.983765,2408580.10469055,61393334.3535233,113403821.576508,161718263.692528,1426969615.87387,6139729.20256907,4868813.13679504
"US_RI",325349211.006836,35877157.9506836,3644786.18603516,817873.919189453,8883824.26375127,14270186.4069118,109187562.847479,300485.9375,172981914.777722,1796210.828125,3265731.68408203,77587815.0804749,82649759.9554749,69187.8196411133,41895.382522583,2519978.91571045,0,0,0,2739768.38977051,0,108706.316101074,1479423.20922852,430960.426101685,33980586.3948326,395856.107788086,14678291.3842621,90892.666179657,2219792.94140625,6669726.3286438,6838990.38232422,66977585.3271179,145726.914638519,47393.8506164551
"US_SC",2149195765.7075,284111916.780762,15113384.8480811,1451720.66845703,66612932.6407102,83266145.4732666,649067525.634687,85680.484375,1099709376.11559,17848184.9853516,22971816.468174,185566746.041817,226386779.954056,1000091.1576767,353335.934915543,47111589.9300995,0,0,0,48524471.110733,529.761047363281,58927.6392211914,6517586.21484375,5214669.1546936,437950464.490685,1741056.65032959,101281933.727783,1099811.86159515,77812256.5771484,58122759.8185577,81020807.7726898,774574330.770172,3575754.74994779,237829.848388672
"US_SD",986299539.440895,71595544.4578171,1494969.2480011,118252.600952148,16477819.8985226,7161051.10546875,150547335.315926,0,247394911.472334,12527837.8687744,1635988.75520325,58366028.484045,72529859.9251595,961379.304260254,669278.351928711,33258761.6200562,0,0,0,34946259.6383972,0,56841.0295410156,1562136.42236328,1923855.79196167,389443274.671024,415772.217407227,75469363.3790283,405755.045023918,25576776.2193604,73647019.1745148,52106959.18927,631428812.761757,10763545.9811561,114718.395935059
"US_TN",3111587439.63465,410466616.559015,25370381.2380381,5526219.20275879,97037444.6833835,157981711.748135,1001261078.67125,4074065.23046875,1701716711.80691,20619999.8330078,20907311.6998196,280404986.982343,321932306.499955,1177791.67333984,198774.779769897,60151516.2081604,0,0,0,62217468.0835266,62742.4765625,626641.095703125,9954164.83837891,7919304.07579803,541556925.573734,2656583.55712891,152427141.88208,1670238.56461334,109264158.900879,99792298.4217377,97101380.7136841,1025720793.84327,2624757.94342852,753672.286026001
"US_TX",10849105963.0511,1600455873.2582,48952442.2690203,9864734.85972786,399923791.650101,213196276.374123,1848296419.2495,35171574.9550781,4155860105.36939,115215562.043701,91109934.3317871,1552799612.74095,1759125301.51815,5460381.25370789,1513826.72913361,238474349.476128,0,0,0,245986484.149033,88241.9169921875,449684.969482422,67234643.1848145,33888560.0696259,2386878872.53425,17979145.6514893,542188081.034912,7147340.01933479,454269228.427425,385348984.804535,723078637.419364,4688134207.19159,67209278.2159524,2912260.7370224
"US_UT",1213743911.41728,179490107.204052,5759540.25048637,1497569.72222519,30954948.7858477,5317868.86943245,289292779.653948,1272811.375,513584797.297359,14857330.7629395,23875418.6144485,149785856.716549,188518470.01202,321231.561991692,435519.689317703,34822178.5010681,0,0,0,35998768.2103138,13947.9130859375,405891.540039062,3440915.04882812,1688913.53887939,215597765.474833,917245.573730469,109816833.617432,356204.063688278,11831369.6015625,46388940.7788696,43074618.0384521,475643949.24434,41868066.9998784,663149.683609009
"US_VA",3316413000.20979,371150573.006065,58855008.9282837,10644002.2583008,89396791.4552334,268056574.104294,997516099.923527,4379171.04296875,1799998125.51024,23465268.4550781,47720721.5057945,232789156.426587,303975183.546311,1994759.15657043,539281.470306396,67483016.318222,1449864.85693359,3234816.515625,2755395.84179688,78950817.2559814,29841.97265625,1463839.15789795,12927470.1177979,8050450.07377625,604894338.575049,3450884.36413574,178941642.771727,1697897.74078369,114046817.135528,85160539.6258011,94492572.4338684,1133489947.1375,26923980.8326185,2903437.81790161
"US_VT",352724944.742126,21562162.7125683,687395.750419617,15732.5547485352,9399770.04236436,7630013.82443237,102282688.228031,0,141577723.26026,1908685.25390625,3125718.45094681,30081988.6608887,35116397.2313843,259736.628570557,20191.2180480957,10162311.925951,0,0,0,10463563.4010029,0,21322.2502441406,1442942.27441406,912946.756090164,81861405.3823776,384120.436523438,37477423.3212891,192547.06248188,2359012.17480469,15325801.2033997,23846980.119873,165567247.171722,1665920.91785645,98182.8010864258
"US_WA",2485557266.49254,359746030.130731,24505485.6052455,12284847.3863335,71702058.2852421,54176219.1688232,629933250.631912,10644248.09375,1162990853.25296,29831376.2929688,32991196.076355,308483213.017881,371305546.624542,2483184.06369019,872163.187503815,68143867.8157973,0,0,0,75099653.2859206,98037.3115234375,3502383.3034668,8511834.015625,6235336.40226364,526670413.579041,2281549.48413086,112913459.290527,1315049.74377728,30386243.7720947,68886130.5128555,86955502.8338623,876161823.406661,29366858.6492025,2639895.86528015
"US_WI",3233300375.1734,436785918.682858,18921451.8613396,3891528.0016098,95066354.5631125,110656371.436684,976082634.565651,2206412.75,1643611040.02132,28716455.8681641,7760677.84590149,253118408.323944,289595441.691132,1554743.57475281,1126128.13171387,68727820.0385742,0,0,0,71629778.9883881,41471.5078125,179617.149597168,8337102.58349609,7425409.3784256,579935965.45417,2226148.34655762,164375052.174316,1566072.35566902,46269674.6364746,188949538.574493,220923344.202342,1228462548.06375,7734373.7417469,720047.969284058
"US_WV",1021199215.83081,83591445.750288,8552016.69910812,2627305.24090576,26244324.7358246,48998800.6535034,271539307.8983,111065.7421875,441664271.418945,5630132.40698242,6639695.28343964,78823387.6814823,91093218.293932,1096158.72805786,612057.530853271,47123383.967926,0,0,0,50794356.0128174,42771.5859375,1919978.15429688,4506634.98217773,3740924.40189362,231242815.96315,1198494.8031311,60792071.1322556,788987.861811638,28451594.1672363,48914663.7075424,52626991.5827103,437647151.773376,4675497.73863268,708595.609725952
"US_WY",738862738.664057,48448717.7275939,921401.820228577,288741.008056641,8204481.69649076,419581.413497925,64730311.0002327,0,123013277.290148,11395541.3371582,3258464.89231873,35800825.1730042,50454802.5832214,530650.509216309,47469.3255157471,47657072.0157394,0,0,0,48706088.4300461,0,470901.555664062,2441045.37744141,1484048.80319214,241412326.227556,649609.032958984,97070137.3380127,312996.553539276,2987288.59375,68979344.5536575,33990518.9819946,516688485.14953,67003028.8067955,359272.205505371
