"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
1840;2754357;64860;2724;1575326;2882414;12971572;0;306141;2003611;11737416;25466;871597;68657;1885873;0;0;0;0;0;43835;114507;344876;37005837;43835;3243607;114507;88845;1289462;3057372;458048;1156
1841;2350680;138875;1811;775914;2551152;6540351;0;441512;1617903;8494715;37588;296280;11346;1856209;0;0;0;0;1535;119892;86931;156089;14038039;121099;3087420;86931;152215;584282;1697159;105409;1643
1842;389823;20034;884;424786;271411;3075636;0;37373;101610;1596039;5451;170009;807;408104;0;0;0;0;0;73842;45935;15377;18605418;74069;1788882;45935;0;667619;2458275;475992;1383
1843;441115;2326;0;288489;32717;1967337;0;97919;87554;614010;6338;237133;7018;411893;0;0;0;0;0;0;21445;219728;10615557;0;47723;21445;0;351084;1491316;320901;509
1844;891497;19849;287;426076;228431;3206607;0;153976;219594;1925425;6590;634635;15457;1159245;0;0;0;0;0;12102;27663;33829;11220768;12102;1133069;27663;0;930619;1916450;133939;0
1845;2322782;23838;0;1237490;251069;8933894;0;243904;577555;3377156;38212;809328;38702;2884767;0;0;0;0;2449;309337;147512;209727;48133567;310111;7597993;147512;485753;220410;4460999;544932;3507
1846;19911868;1032234;43318;8847746;8318899;77988212;0;2076784;9746593;105618852;142769;269449;25053;4190405;0;0;0;0;0;584286;244278;1961331;130548627;585165;13665931;244278;4368350;7943092;8202332;2017147;7139
1847;811470;31064;1085;830012;327681;6931670;0;203965;833729;3018207;8782;514135;0;590932;0;0;0;0;6183;116673;73929;38551;36107876;116673;3681991;73929;0;466858;3378172;1666822;755
1848;696422;11713;0;564400;513057;3867346;0;8621;142722;1795496;18942;554635;12061;1520598;0;0;0;0;0;100372;57284;121998;15479247;100372;2377952;57284;23205;812519;1537814;157353;809
1849;1302121;64842;621;716198;873717;5206019;0;201783;1257534;2992503;37292;752854;759;568239;0;0;0;0;0;8535;60348;397578;19546931;8535;297823;60348;0;803880;2164338;398756;859
1850;1902212;103490;710;1072385;4173194;8912916;0;227687;2713585;5917815;21017;712867;202164;940149;0;0;0;18594;2821;119736;185835;342318;48752612;119916;3937953;185835;698318;1963385;3945601;1673424;1481
1851;1012264;34972;862;616979;402185;5272558;0;212607;1519391;4353616;5077;208039;31036;735734;0;0;0;0;0;65687;50345;249871;20823541;65687;3424456;50345;29326;779064;2522212;696303;1141
1852;992771;11265;2124;732540;184094;5231631;0;92886;206310;4238810;22978;395648;47461;1797331;0;0;0;0;978;0;63895;107379;24165735;0;0;63895;0;1597546;3294664;385499;264
1853;2024858;15277;357;961783;245839;7517157;0;71538;366888;2650578;16017;593961;26606;2102760;0;0;0;0;0;0;45038;35578;24200166;0;0;45038;587682;1208867;1832676;70545;315
1854;5339923;2720366;209667;2530981;18685944;22448889;31751;412949;4398527;36129933;58259;492016;1036;3140196;0;0;0;0;8798;746077;298177;827137;61209198;749741;12311362;298177;1653860;2696222;5099523;222062;37865
1855;1229549;27278;0;576040;348761;3902845;0;138993;286595;846494;7900;328542;7504;1256104;0;0;0;0;0;0;23230;30338;16752248;0;0;23230;0;1259707;2400342;495273;366
1856;630896;4119;113;372069;50981;2782102;0;152288;43699;453341;10519;183663;25682;830485;0;0;0;0;0;0;14065;36026;12394383;0;0;14065;0;426292;1455526;118599;70
1857;3762099;69422;435;1472973;753745;11257077;0;193939;843008;10061708;5871;4852;1284;344205;0;0;0;0;0;25900;65762;139358;28697893;26111;1435718;65762;46835;835713;1841130;289175;77
1858;863359;8589;0;709923;183828;4209657;0;132022;59528;1383330;0;783;0;191868;0;0;0;0;0;0;10573;270;12169035;0;0;10573;342635;475591;357857;13202;0
1859;224209;2602;0;238211;60162;1570412;0;0;52975;445753;0;0;0;0;0;0;0;0;0;0;11047;61930;9343225;0;0;11047;0;574942;1376981;118759;180
1860;1110979;5656;294;474161;127500;2800527;0;182315;20050;1393935;8860;93205;0;923113;0;0;0;0;0;0;58843;0;13672683;0;0;58843;1403225;518437;1650108;312465;230
1861;406965;10761;0;414266;149564;3145983;0;84637;98392;603846;1284;193402;176;0;0;0;0;0;0;0;52608;81894;16744922;0;0;52608;567255;295141;1918824;204137;56
1862;215296;6735;0;284976;102849;2326259;0;110711;160262;759626;0;0;0;0;0;0;0;0;0;0;40455;244100;10264224;0;0;40455;0;1285816;556284;290273;590
1863;1215110;33618;815;620546;190769;4601231;0;270519;156413;2965614;18847;149539;9631;1849599;0;0;0;0;0;190436;50929;2158;24072240;190436;248659;50929;1003236;2439834;1064590;1219159;58
1864;573089;7836;0;327871;57977;2275736;0;0;4092;697463;0;165192;0;246048;0;0;0;0;0;77697;66283;0;13165247;77697;567130;66283;1574250;657110;1381000;412194;0
1865;1647968;7196;2664;640377;100619;3556367;0;155317;74498;1194146;4685;55019;6030;757943;0;0;0;0;0;0;49313;38674;17704154;0;0;49313;1475311;1022003;3555980;1157134;300
1866;2060310;27664;2356;1680931;363886;12361502;0;159326;478903;7816281;67141;242248;2857;2230084;0;0;0;0;0;103968;114873;198269;38629893;104121;1568868;114873;3224000;506698;2587486;799776;0
1867;4725583;272789;12773;2020840;2100251;15448988;0;322183;1259552;10878778;17923;13212;1793;1525643;0;0;0;0;3627;291552;149887;809680;46297797;291757;5465578;149887;400409;1459427;2854189;796604;21000
1868;1915902;43887;339;987081;147909;7874104;0;319563;324563;3989229;4866;1483;6242;704046;0;0;0;0;0;26480;90231;342083;22587353;26480;2068020;90231;11290;1332189;1560382;924442;197
1869;3918279;151090;2169;1560882;1267975;12719032;0;370071;1588040;13189733;11955;10640;25350;652380;0;0;0;0;0;18946;113969;120783;31271875;18946;1440634;113969;1027860;2111232;1262149;141448;2057
1870;2303924;49241;0;904241;172268;7049484;0;59104;143238;5355636;2369;8034;0;336674;0;0;0;0;0;0;58206;66248;20929115;0;0;58206;1836973;711678;865530;477959;104
1871;103123;2073;98;124903;21950;930767;0;26778;57992;294590;981;15585;0;102069;0;0;0;0;0;0;35459;414;4579740;0;0;35459;790427;52754;453749;256509;0
1872;1678826;28464;1367;1194895;190031;6873786;0;555607;359213;4975335;11576;0;1008;567472;0;0;0;0;0;0;162663;59087;14124734;0;1852;162663;1624723;1485284;502398;2064555;233
