"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
581,14359486.75,1465260.8125,35593.2095928192,13826.095703125,343397.56640625,67039.7082519531,3180674.796875,0,5105790.890625,31509.330078125,19188.78515625,1238760.05761719,1289458.33886719,8083.5947265625,0,848925.578125,0,0,0,857009.15625,0,0,35924.8671875,31975.263671875,4210621,9559.23046875,573170.4375,6743.8134765625,1096699.65625,158334.046875,975831.640625,7107238.6875,5279.3699798584,3082.98876953125
582,18688500,2742256.75,51243.9453125,2230.73706054688,513185.625,311676.0625,4296480,0,7917071,27535.61328125,2142.93041992188,1527095.375,1556773.75,11964.7275390625,0,1377478.375,0,0,0,1391208.625,0,1765.59045410156,45101.29296875,47763.94140625,4565573.5,12000.9794921875,1756629.875,10073.76171875,0,815029.625,569446.3125,7823421,1391.77600097656,439.75146484375
583,294082180,63956269,1136992.5,204698.090820312,9506525.6875,8438620.1875,116090561,120342.03125,199454162,2817432,3619536.53125,39336826.5,45773759,55570.7666015625,5934.42944335938,3556215.5,0,0,0,3619192.125,0,1469.91748046875,553475.6875,339189.8515625,25531292.5,148033.40625,8515960.75,71537.55859375,1849128.875,3561535.6875,4482751.15625,45234879.5,58837.7275390625,123177.6640625
584,18160969,1912345.375,17299.3529052734,0,562619.640625,442295.046875,4093169.8125,0,7027720.25,135443.1875,215.149078369141,606451.9453125,742110.875,1965.76916503906,243.037857055664,1180059.40625,0,0,0,1182268.21875,0,0,0,5904.11633300781,7024179.75,0,0,1245.22094726562,245075.125,1297691,631868.265625,9208847.5,2887.07904052734,0
585,6441948.6875,847189.2109375,1453.71130371094,0,298442.25390625,149711.362304688,1638058.8125,0,2934854.71875,0,0,235621.313964844,235621.313964844,431.587066650391,0,188286.54296875,0,0,0,188718.12890625,0,0,0,8413.18865966797,2505183.234375,0,0,1774.40184020996,0,250791.01171875,301987.90234375,3082749.5,14601.5744628906,0
586,29114928,4495280.5,49527.60546875,0,792668.125,137489.359375,6263259.5,0,11738212,195761.296875,11627.1806640625,2597176.5,2804562.75,11978.8994140625,0,1514249.625,0,0,0,1528598.625,0,2369.60815429688,104899,48061.63671875,5994611,27922.189453125,5171314.5,10136.548828125,0,1105744.625,562935.625,13043572,15086.859375,2874.93432617188
587,22145500,1929458.625,4239.07885742188,0,593752.15625,78690.6484375,3918458.625,0,6524599.25,100008.1171875,0,913388,1013396.1875,10476.2243652344,1296.40686035156,928181.1875,0,0,0,939953.96875,0,0,133344.4140625,53410.431640625,7808735.25,35481.564453125,3766116.375,11264.6440429688,0,1036679.53125,775143.9375,13667561,43563.3525390625,3806.45068359375
588,14972475,1771297.25,37716.515625,935.768676757812,315282.3125,97584.5546875,2854145.25,0,5076960,52678.99609375,535.304626464844,1092939.125,1146153.875,11564.64453125,0,1196286.875,0,0,0,1207851.25,0,0,0,23377.4375,4965771,0,694375.625,4930.4697265625,0,229983.609375,1620504.25,7541497,2548.90234375,0
589,22491730,1847323,15500.958984375,0,767047.5625,197596.234375,6749168,0,9576622,49851.5390625,13153.76953125,1401600.625,1464606.125,33145.57421875,3530.51000976562,1906218.5,0,0,0,1942894,0,0,44680.3515625,40796.3828125,5710072,11888.9697265625,1969859.5,8604.248046875,0,130941.515625,1583114.875,9507634,5459.146484375,2194.02880859375
590,25136380.2934704,1800732.46875,81408.0502929688,0,862145.265625,262608.575195312,7099465.6875,0,10106348,156403.982421875,2331.25708007812,1902697.859375,2061433.515625,15801.7592773438,28457.521484375,1572517.46875,0,0,0,1616776.6875,0,0,0,77211.533203125,7999485.91847038,0,0,16284.4671630859,78434.03125,1460641.9375,1708337.125,11351813.2934704,10444.2426147461,978.801635742188
591,5934183.24316406,463565.96875,23232.45703125,0,159468.678966522,30602.46875,1202420.64852905,0,1879291.04623413,0,0,262295.806640625,262295.806640625,0,0,0,0,0,0,0,0,0,0,14848.3195800781,2907230.37231445,0,0,3131.61676025391,0,823629.5,33199.3046875,3792587.61328125,10558.2319335938,0
592,11741440.1015625,861348.759277344,1560.32734680176,0,454329.540283203,61173.6574707031,2842359.66015625,0,4220770.734375,0,1733.17687988281,461643.648727417,463376.836227417,13752.5063476562,0,688207.78125,0,0,0,701960.375,0,0,0,34352.65234375,5026414.51367188,0,0,7245.22192382812,74618.484375,780566.1875,427783.064453125,6355317.00390625,4367.64697265625,0
593,32690464,4093169.75,128431.453125,1964.77026367188,782261.4375,330812.375,8483778,0,13820405,218941.734375,74386.78125,4956948,5250274,22655.171875,12861.3037109375,1784219.625,0,0,0,1819735.25,0,0,45636.11328125,70128.0546875,6472114.5,12143.2919921875,3395025.5,14790.494140625,0,1149298.125,574407.0625,11800018,27576.03125,38906.1875
594,9187444,637292.0625,6423.56884765625,0,253817.9375,62400.609375,1891470.875,0,2851402.75,39854.484375,0,317791.1875,357645.375,529.245483398438,0,643867.0625,0,0,0,644396.375,0,0,0,1275.28918457031,4316448,0,0,268.967712402344,0,667783.0625,291919.96875,5334000,56308.84375,0
595,21561887.7089844,1655495.62792969,37477.8159790039,0,547452.5703125,129162.133789062,3947859.75,0,6317447.58789062,144586.01953125,0,2018995.26132202,2163581.91757202,35164.8939819336,0,973871.379882812,0,0,0,1009036.58984375,0,0,0,69239.1833496094,8316210.875,0,0,14603.04296875,1804099.4375,678482.537109375,1163387.83984375,12071819.6601562,25779.6829833984,0
596,3747841.90576172,168277.158203125,8524.53816223145,0,125490.581054688,26675.3341064453,893346.779296875,0,1222315.01367188,0,8828.53207778931,217569.337158203,226397.887302399,0,0,0,0,0,0,0,0,0,0,2623.57498168945,1655075.52392578,0,0,553.330856323242,0,444368.3984375,178255.61328125,2299131.11865234,18252.6139526367,0
