"","FIPS","POPPCT_URBAN","POPPCT_RURAL"
"148","05131",79.1878737752895,20.8121262247105
"149","05133",36.3993434165787,63.6006565834213
"150","05135",19.943234476367,80.056765523633
"151","05137",0,100
"152","05139",45.4958092173203,54.5041907826797
"153","05141",0,100
"154","05143",74.5052076921183,25.4947923078817
"155","05145",45.6821838185687,54.3178161814313
"156","05147",0,100
"157","05149",20.8744647284201,79.1255352715799
"158","06001",99.611394246463,0.388605753536948
"159","06003",0,100
"160","06005",39.576277860912,60.423722139088
"161","06007",81.0981818181818,18.9018181818182
"162","06009",24.5908113563561,75.4091886436439
"163","06011",68.2758298706756,31.7241701293244
"164","06013",99.2072638878959,0.792736112104097
"165","06015",66.326459279972,33.673540720028
"166","06017",65.3000695909598,34.6999304090402
"167","06019",89.194798215917,10.805201784083
"168","06021",59.128084773487,40.8719152265131
"169","06023",70.2413406327299,29.7586593672701
"170","06025",82.5821644664466,17.4178355335534
"171","06027",53.5695028577591,46.4304971422409
"172","06029",89.7939690173421,10.2060309826579
"173","06031",89.1483965433842,10.8516034566158
"174","06033",66.8939921131988,33.1060078868012
"175","06035",29.4741366958017,70.5258633041983
"176","06037",99.3947816415876,0.605218358412422
"177","06039",67.0751996818347,32.9248003181652
"178","06041",93.4800264649834,6.51997353501658
"179","06043",0,100
"180","06045",54.7694129165196,45.2305870834804
"181","06047",85.7267399811566,14.2732600188434
"182","06049",30.0433615527566,69.9566384472434
"183","06051",54.1684269821152,45.8315730178848
"184","06053",90.1839988242579,9.81600117574213
"185","06055",86.5991618065121,13.4008381934879
"186","06057",57.8652140456037,42.1347859543963
"187","06059",99.856655566747,0.143344433252985
"188","06061",86.2128047940488,13.7871952059512
"189","06063",25.9759084320488,74.0240915679512
"190","06065",95.3776897674094,4.62231023259064
"191","06067",97.937887831022,2.06211216897803
"192","06069",75.9955852286092,24.0044147713908
"193","06071",95.2655008574054,4.73449914259462
"194","06073",96.7029505578273,3.29704944217273
"195","06075",100,0
"196","06077",91.5271426195014,8.47285738049864
"197","06079",83.4036130056335,16.5963869943665
"198","06081",98.1089872517402,1.8910127482598
"199","06083",94.9824838698263,5.01751613017375
"200","06085",98.9163367275805,1.08366327241949
"201","06087",87.9606832785786,12.0393167214214
"202","06089",70.7137335447431,29.2862664552569
"203","06091",0.277777777777778,99.7222222222222
"204","06093",34.173719376392,65.826280623608
"205","06095",96.2815475729659,3.71845242703414
"206","06097",87.6464728712609,12.3535271287391
"207","06099",92.0192903919309,7.98070960806915
"208","06101",85.2021913296811,14.7978086703189
"209","06103",48.5117312449774,51.4882687550226
"210","06105",0,100
"211","06107",84.5200699264325,15.4799300735675
"212","06109",51.034046780457,48.965953219543
"213","06111",96.8754478828351,3.12455211716494
"214","06113",93.0704160837246,6.92958391627541
"215","06115",73.7772850114337,26.2227149885663
"216","08001",96.3795535809313,3.62044641906871
"217","08003",63.1337002266106,36.8662997733894
"218","08005",98.4246586119304,1.57534138806964
"219","08007",40.6239655743131,59.3760344256869
"220","08009",0,100
"221","08011",62.0403138944453,37.9596861055547
"222","08013",91.0869174075847,8.91308259241531
"223","08014",99.4167009608331,0.58329903916692
"224","08015",62.5863327531024,37.4136672468976
"225","08017",0,100
"226","08019",0,100
"227","08021",0,100
"228","08023",0,100
"229","08025",0,100
"230","08027",0,100
"231","08029",36.827991729129,63.172008270871
"232","08031",100,0
"233","08033",0,100
"234","08035",89.7125742210078,10.2874257789922
"235","08037",80.0160928789011,19.9839071210989
"236","08039",0,100
"237","08041",91.0656748030977,8.93432519690228
"238","08043",73.5797881428327,26.4202118571673
"239","08045",75.8960080866836,24.1039919133164
"240","08047",0,100
"241","08049",17.4021424240383,82.5978575759617
"242","08051",41.3925867919603,58.6074132080397
"243","08053",0,100
"244","08055",43.8533750558784,56.1466249441216
"245","08057",0,100
"246","08059",93.1036418024368,6.89635819756315
"247","08061",0,100
"248","08063",51.3059250302298,48.6940749697702
"249","08065",68.9329685362517,31.0670314637483
"250","08067",40.0514279035337,59.9485720964663
"251","08069",88.3396188632647,11.6603811367353
"252","08071",59.2055200877023,40.7944799122977
"253","08073",0,100
"254","08075",70.8441587035977,29.1558412964023
"255","08077",87.323732475481,12.676267524519
"256","08079",0,100
"257","08081",72.6422616890178,27.3577383109822
"258","08083",32.817701194439,67.182298805561
"259","08085",55.0101754045935,44.9898245954065
"260","08087",67.4526794275365,32.5473205724635
"261","08089",65.5939673941904,34.4060326058096
"262","08091",0,100
"263","08093",0,100
"264","08095",0,100
"265","08097",55.7965943550268,44.2034056449732
"266","08099",62.1145725440204,37.8854274559796
"267","08101",85.846488498268,14.153511501732
"268","08103",0,100
"269","08105",37.4645301285261,62.5354698714739
"270","08107",54.8215577013059,45.1784422986941
"271","08109",0,100
"272","08111",0,100
"273","08113",0,100
"274","08115",0,100
"275","08117",80.481531756805,19.518468243195
"276","08119",37.3961456102784,62.6038543897216
"277","08121",0,100
