"","FIPS","YEAR","RDEATH"
"415","13115","2011",10.21849298
"416","13117","2011",4.6134492925
"417","13119","2011",11.442582754
"418","13121","2011",5.9847279992
"419","13123","2011",6.6356063815
"420","13125","2011",10.352636687
"421","13127","2011",9.6587532451
"422","13129","2011",9.0090903346
"423","13131","2011",7.6220120516
"424","13133","2011",10.553924936
"425","13135","2011",4.2676067914
"426","13137","2011",9.3375452941
"427","13139","2011",6.5856661018
"428","13141","2011",9.4540046739
"429","13143","2011",13.456127781
"430","13145","2011",7.2297381159
"431","13147","2011",11.252146791
"432","13149","2011",10.605803496
"433","13151","2011",5.6705910912
"434","13153","2011",7.2004669053
"435","13155","2011",10.595751311
"436","13157","2011",8.0874496589
"437","13159","2011",8.8019912702
"438","13161","2011",9.5146849912
"439","13163","2011",11.831856829
"440","13165","2011",11.067193676
"441","13167","2011",8.6064548411
"442","13169","2011",8.1552992019
"443","13171","2011",10.597117364
"444","13173","2011",7.286505392
"445","13175","2011",10.63619839
"446","13177","2011",5.2288040427
"447","13179","2011",4.7208153567
"448","13181","2011",10.225981568
"449","13183","2011",5.0569752545
"450","13185","2011",7.5508210953
"451","13187","2011",7.4087489093
"452","13189","2011",11.101642214
"453","13191","2011",8.6913857153
"454","13193","2011",10.378363518
"455","13195","2011",10.108892278
"456","13197","2011",8.5999312006
"457","13199","2011",11.608623549
"458","13201","2011",14.585381842
"459","13205","2011",9.9782525265
"460","13207","2011",9.0246177865
"461","13209","2011",9.4640695499
"462","13211","2011",10.77971403
"463","13213","2011",8.7454688332
"464","13215","2011",9.1103910221
"465","13217","2011",7.2790000848
"466","13219","2011",6.3756817598
"467","13221","2011",8.5790522512
"468","13223","2011",4.8875343437
"469","13225","2011",8.4826483116
"470","13227","2011",9.9955801856
"471","13229","2011",10.42858283
"472","13231","2011",8.289691097
"473","13233","2011",11.131501425
"474","13235","2011",9.8286290323
"475","13237","2011",10.275506116
"476","13239","2011",8.4592145015
"477","13241","2011",10.38913137
"478","13243","2011",11.158516574
"479","13245","2011",9.465175275
"480","13247","2011",6.8164649251
"481","13249","2011",5.9618441971
"482","13251","2011",12.661731128
"483","13253","2011",13.261689722
"484","13255","2011",10.582175745
"485","13257","2011",12.493492972
"486","13259","2011",10.847234777
"487","13261","2011",10.347170744
"488","13263","2011",10.342316096
"489","13265","2011",17.018779343
"490","13267","2011",9.0353754591
"491","13269","2011",11.616425626
"492","13271","2011",8.7909404475
"493","13273","2011",10.994819748
"494","13275","2011",11.193570413
"495","13277","2011",9.531998526
"496","13279","2011",10.139789489
"497","13281","2011",16.197016339
"498","13283","2011",13.121446275
"499","13285","2011",9.3404512819
"500","13287","2011",13.221288515
"501","13289","2011",13.146067416
"502","13291","2011",14.124161231
"503","13293","2011",12.969207396
"504","13295","2011",8.9924530221
"505","13297","2011",9.0854099702
"506","13299","2011",11.931332837
"507","13301","2011",13.788288681
"508","13303","2011",9.8901621416
"509","13305","2011",9.7071296051
"510","13307","2011",6.4923354373
"511","13309","2011",6.6885411408
"512","13311","2011",8.7539374405
"513","13313","2011",7.0989230059
"514","13315","2011",12.280512765
"515","13317","2011",12.416937479
"516","13319","2011",11.823700185
"517","13321","2011",9.5361540598
"518","16001","2011",6.3074491327
"519","16003","2011",9.5681732343
"520","16005","2011",7.8602672491
"521","16007","2011",10.398322851
"522","16009","2011",12.7823214
"523","16011","2011",7.0479390779
"524","16013","2011",5.0969842843
"525","16015","2011",8.4339932814
"526","16017","2011",9.2551784927
"527","16019","2011",6.6607122496
"528","16021","2011",8.7984602695
"529","16023","2011",9.3945720251
"530","16025","2011",5.378753922
"531","16027","2011",6.5773402224
"532","16029","2011",8.8290635403
"533","16031","2011",8.7039362577
"534","16033","2011",4.1365046536
"535","16035","2011",14.07475773
"536","16037","2011",10.135913384
"537","16039","2011",6.4114581381
"538","16041","2011",6.7992653667
"539","16043","2011",8.1263765474
"540","16045","2011",12.343089967
"541","16047","2011",10.445727633
"542","16049","2011",10.313682412
"543","16051","2011",5.4438860972
"544","16053","2011",6.7612650683
"545","16055","2011",8.8212166702
"546","16057","2011",5.7515643723
"547","16059","2011",10.791141226
"548","16061","2011",10.752688172
"549","16063","2011",8.8992068098
"550","16065","2011",3.3642384106
