"","FIPS","YEAR","RNETMIG"
"376","13035","2011",-8.819495727
"377","13037","2011",-12.91097433
"378","13039","2011",-17.4121469
"379","13043","2011",14.572276693
"380","13045","2011",-3.965977514
"381","13047","2011",7.3279408797
"382","13049","2011",42.57260149
"383","13051","2011",15.734376337
"384","13053","2011",-9.982619546
"385","13055","2011",-12.08272016
"386","13057","2011",4.166965022
"387","13059","2011",0.033951246
"388","13061","2011",-1.893043067
"389","13063","2011",-3.019689294
"390","13065","2011",-10.53256193
"391","13067","2011",1.8585831766
"392","13069","2011",1.609817554
"393","13071","2011",-3.894711507
"394","13073","2011",23.589311118
"395","13075","2011",-12.39113917
"396","13077","2011",5.2854328031
"397","13079","2011",-3.098681074
"398","13081","2011",9.8758106218
"399","13083","2011",-2.106530244
"400","13085","2011",-2.910360885
"401","13087","2011",-8.076728925
"402","13089","2011",-1.369023823
"403","13091","2011",-7.100864553
"404","13093","2011",-17.71533293
"405","13095","2011",-2.77461282
"406","13097","2011",-2.913290098
"407","13099","2011",-21.31079778
"408","13101","2011",4.2084416388
"409","13103","2011",-2.035071703
"410","13105","2011",-13.57715431
"411","13107","2011",-7.494622941
"412","13109","2011",-7.99963638
"413","13111","2011",1.3098683794
"414","13113","2011",1.8683382066
"415","13115","2011",-6.106172634
"416","13117","2011",20.395127707
"417","13119","2011",-5.494256005
"418","13121","2011",15.294423525
"419","13123","2011",-5.153183679
"420","13125","2011",8.0879974118
"421","13127","2011",1.5388946233
"422","13129","2011",0.6499544129
"423","13131","2011",-4.748792849
"424","13133","2011",4.8085930182
"425","13135","2011",7.5673659948
"426","13137","2011",-3.089287373
"427","13139","2011",4.5155698837
"428","13141","2011",-4.780114723
"429","13143","2011",-9.961029656
"430","13145","2011",2.3892267593
"431","13147","2011",7.106619026
"432","13149","2011",-9.672492788
"433","13151","2011",2.888700085
"434","13153","2011",14.422028928
"435","13155","2011",9.3491923337
"436","13157","2011",-0.526012986
"437","13159","2011",-9.667760903
