"","FIPS","YEAR","RINTERNATIONALMIG"
"444","13173","2011",0.4857670261
"445","13175","2011",0.0830952999
"446","13177","2011",0
"447","13179","2011",1.2661789533
"448","13181","2011",0
"449","13183","2011",0.2697053469
"450","13185","2011",0.7505606598
"451","13187","2011",0.3292777293
"452","13189","2011",-0.184259622
"453","13191","2011",-0.07009182
"454","13193","2011",1.4433485687
"455","13195","2011",0.4256375696
"456","13197","2011",2.4079807362
"457","13199","2011",0.0921319329
"458","13201","2011",0.1638806949
"459","13205","2011",-0.383778943
"460","13207","2011",0.1142356682
"461","13209","2011",-0.11004732
"462","13211","2011",-0.167560322
"463","13213","2011",-0.05069837
"464","13215","2011",1.1646806704
"465","13217","2011",0.1495684949
"466","13219","2011",0.6647630271
"467","13221","2011",0.4728611477
"468","13223","2011",0.1955013737
"469","13225","2011",0.2156605503
"470","13227","2011",0.5099785809
"471","13229","2011",0.1064141105
"472","13231","2011",0
"473","13233","2011",0.9900033805
"474","13235","2011",-0.084005376
"475","13237","2011",-0.094270698
"476","13239","2011",-0.805639476
"477","13241","2011",0.1844224504
"478","13243","2011",0.1312766656
"479","13245","2011",0.7468575967
"480","13247","2011",0.1873942247
"481","13249","2011",-0.19872814
"482","13251","2011",0.2075693628
"483","13253","2011",0
"484","13255","2011",0.3433744342
"485","13257","2011",0.231360981
"486","13259","2011",2.9583367573
"487","13261","2011",0.0617741537
"488","13263","2011",-0.145666424
"489","13265","2011",0
"490","13267","2011",0.2749896879
"491","13269","2011",-0.232328513
"492","13271","2011",0.1831445927
"493","13273","2011",0.1057194207
"494","13275","2011",0.1119357041
"495","13277","2011",-0.122835033
"496","13279","2011",-0.257168574
"497","13281","2011",-0.189438788
"498","13283","2011",0
"499","13285","2011",0.1039477885
"500","13287","2011",-0.112044818
"501","13289","2011",0.4494382022
"502","13291","2011",0.1407723711
"503","13293","2011",-0.074109757
"504","13295","2011",-0.246965592
"505","13297","2011",-0.177912728
"506","13299","2011",0.0275550412
"507","13301","2011",-0.1745353
"508","13303","2011",0
"509","13305","2011",-0.165650676
"510","13307","2011",0.3606853021
"511","13309","2011",0
"512","13311","2011",0.0732547066
"513","13313","2011",-0.797413269
"514","13315","2011",0.1077237962
"515","13317","2011",0
"516","13319","2011",-0.211137503
"517","13321","2011",-0.41662809
"518","16001","2011",2.0689238576
"519","16003","2011",0
"520","16005","2011",1.0560359052
"521","16007","2011",0
"522","16009","2011",0.2166495152
"523","16011","2011",-0.850989548
