"","FIPS","YEAR","RBIRTH"
"675","18023","2011",12.980152441
"676","18025","2011",9.3769046838
"677","18027","2011",16.334223339
"678","18029","2011",10.992415233
"679","18031","2011",12.301740812
"680","18033","2011",12.18908405
"681","18035","2011",10.748580016
"682","18037","2011",12.085598392
"683","18039","2011",15.429712177
"684","18041","2011",9.5719443012
"685","18043","2011",11.624255947
"686","18045","2011",10.68742195
"687","18047","2011",10.716067594
"688","18049","2011",12.418174817
"689","18051","2011",12.762975443
"690","18053","2011",11.195607767
"691","18055","2011",10.779148236
"692","18057","2011",13.717690641
"693","18059","2011",11.137187967
"694","18061","2011",10.239690262
"695","18063","2011",12.063078291
"696","18065","2011",8.8914994025
"697","18067","2011",12.044772243
"698","18069","2011",10.500242313
"699","18071","2011",13.566775435
"700","18073","2011",11.236794525
"701","18075","2011",15.289081244
"702","18077","2011",10.206132958
"703","18079","2011",12.183063776
"704","18081","2011",13.070782935
"705","18083","2011",12.775811823
"706","18085","2011",12.902975571
"707","18087","2011",20.287291633
"708","18089","2011",12.485606534
"709","18091","2011",11.904334399
"710","18093","2011",10.385611916
"711","18095","2011",12.436172279
"712","18097","2011",16.004996123
"713","18099","2011",11.518235432
"714","18101","2011",10.920512201
"715","18103","2011",10.890428674
"716","18105","2011",8.9311654633
"717","18107","2011",12.4548642
"718","18109","2011",11.620932132
"719","18111","2011",9.8873547795
"720","18113","2011",11.968590366
"721","18115","2011",8.5681331356
"722","18117","2011",11.770919792
"723","18119","2011",10.312391128
"724","18121","2011",10.885066504
"725","18123","2011",11.176349403
"726","18125","2011",11.060199084
"727","18127","2011",10.345517246
"728","18129","2011",10.745597021
"729","18131","2011",10.921964447
"730","18133","2011",9.5016891892
"731","18135","2011",11.108770183
"732","18137","2011",11.764705882
"733","18139","2011",9.7493437942
"734","18141","2011",13.27892299
"735","18143","2011",12.063729772
"736","18145","2011",12.170202197
"737","18147","2011",11.221468819
"738","18149","2011",11.694900679
"739","18151","2011",10.736758731
"740","18153","2011",10.608336463
"741","18155","2011",11.803831561
"742","18157","2011",12.218990443
"743","18159","2011",9.5917208304
"744","18161","2011",10.643251513
"745","18163","2011",12.461491493
"746","18165","2011",11.308562197
"747","18167","2011",12.228399116
"748","18169","2011",11.220668042
"749","18171","2011",11.300100053
"750","18173","2011",11.046317894
"751","18175","2011",10.515507718
"752","18177","2011",12.288674786
"753","18179","2011",11.909058102
"754","18181","2011",11.608320649
"755","18183","2011",11.662244607
"756","19001","2011",8.6699507389
"757","19003","2011",7.9830360484
"758","19005","2011",11.118881119
"759","19007","2011",11.982570806
"760","19009","2011",10.080978351
"761","19011","2011",11.165681836
"762","19013","2011",12.651001347
"763","19015","2011",12.024581898
"764","19017","2011",9.4502424193
"765","19019","2011",13.08344276
"766","19021","2011",14.557257727
"767","19023","2011",10.173348504
"768","19025","2011",8.9003164557
"769","19027","2011",12.6187506
"770","19029","2011",10.76084209
"771","19031","2011",10.867202782
"772","19033","2011",10.877957942
"773","19035","2011",9.1986409215
"774","19037","2011",10.961112231
"775","19039","2011",12.448355422
"776","19041","2011",11.97676868
"777","19043","2011",9.8623154279
"778","19045","2011",12.15910711
"779","19047","2011",13.377148341
"780","19049","2011",14.789733668
"781","19051","2011",15.04530689
"782","19053","2011",9.7198056039
"783","19055","2011",10.566165668
"784","19057","2011",11.829603895
"785","19059","2011",8.2913298935
"786","19061","2011",12.316864875
"787","19063","2011",9.9189786398
"788","19065","2011",10.469452146
"789","19067","2011",12.035551167
"790","19069","2011",11.495864293
"791","19071","2011",11.077338737
"792","19073","2011",9.9497164866
"793","19075","2011",10.825548294
"794","19077","2011",9.2677555515
"795","19079","2011",10.289389068
"796","19081","2011",8.9424055956
"797","19083","2011",10.538977032
"798","19085","2011",9.5709904627
"799","19087","2011",11.301395326
"800","19089","2011",11.928429423
"801","19091","2011",10.830693777
"802","19093","2011",10.204081633
"803","19095","2011",10.410925348
"804","19097","2011",10.615711253
"805","19099","2011",10.077076014
"806","19101","2011",7.6032181063
"807","19103","2011",13.284455379
"808","19105","2011",10.137092103
"809","19107","2011",12.053955802
"810","19109","2011",10.541632983
"811","19111","2011",10.893612255
"812","19113","2011",12.359360619
"813","19115","2011",11.685630189
"814","19117","2011",12.937338283
"815","19119","2011",15.907820629
"816","19121","2011",10.165507164
"817","19123","2011",13.627557951
"818","19125","2011",11.519663133
"819","19127","2011",13.213433658
"820","19129","2011",10.363726956
"821","19131","2011",11.161752395
"822","19133","2011",8.3306285838
"823","19135","2011",12.953851903
"824","19137","2011",9.942782103
"825","19139","2011",12.937124175
"826","19141","2011",9.5717180186
"827","19143","2011",9.0802348337
"828","19145","2011",10.99971715
"829","19147","2011",11.092150171
"830","19149","2011",11.889221376
"831","19151","2011",10.211826399
"832","19153","2011",14.873336708
"833","19155","2011",13.378928722
"834","19157","2011",9.6771634806
"835","19159","2011",11.02145247
"836","19161","2011",8.7480559876
"837","19163","2011",13.16657678
"838","19165","2011",9.7657866424
"839","19167","2011",15.050907481
"840","19169","2011",10.962995741
"841","19171","2011",11.943508901
"842","19173","2011",11.24663393
"843","19175","2011",11.568072121
"844","19177","2011",11.133200795
"845","19179","2011",12.674235612
"846","19181","2011",11.077055439
"847","19183","2011",12.77867157
"848","19185","2011",13.327061775
"849","19187","2011",11.662964138
"850","19189","2011",10.305449819
"851","19191","2011",7.5960785245
"852","19193","2011",14.645942625
"853","19195","2011",9.6407818278
"854","19197","2011",10.679278386
"855","20001","2011",11.529966683
"856","20003","2011",12.126461672
"857","20005","2011",12.794572721
"858","20007","2011",16.368286445
"859","20009","2011",13.942064581
"860","20011","2011",14.428671166
"861","20013","2011",13.741223671
"862","20015","2011",11.841595883
"863","20017","2011",6.4829821718
"864","20019","2011",9.3676814988
"865","20021","2011",11.425906494
"866","20023","2011",10.726835584
"867","20025","2011",11.576753878
"868","20027","2011",11.477425777
"869","20029","2011",13.621964097
"870","20031","2011",10.543580131
"871","20033","2011",14.331210191
"872","20035","2011",13.25781067
"873","20037","2011",12.376237624
"874","20039","2011",10.876954453
"875","20041","2011",13.0265092
"876","20043","2011",11.683417085
"877","20045","2011",11.033767441
"878","20047","2011",12.843734563
"879","20049","2011",9.1986555811
"880","20051","2011",13.743901799
"881","20053","2011",8.3243409897
"882","20055","2011",20.332941796
"883","20057","2011",19.362386663
"884","20059","2011",12.962712911
"885","20061","2011",29.658193572
"886","20063","2011",11.074197121
"887","20065","2011",9.5474508306
"888","20067","2011",16.411169773
"889","20069","2011",14.200792602
"890","20071","2011",11.933174224
"891","20073","2011",10.382965917
"892","20075","2011",17.215568862
"893","20077","2011",11.21808288
"894","20079","2011",13.221759733
"895","20081","2011",12.929007992
"896","20083","2011",9.8013928295
"897","20085","2011",11.826397412
"898","20087","2011",10.088537425
"899","20089","2011",9.4247643809
"900","20091","2011",13.477618924
"901","20093","2011",14.32160804
"902","20095","2011",10.922021844
"903","20097","2011",14.823483519
"904","20099","2011",11.744419071
"905","20101","2011",12.647312446
"906","20103","2011",12.318109313
"907","20105","2011",10.805804261
"908","20107","2011",9.7723256056
"909","20109","2011",11.55234657
"910","20111","2011",12.421991085
"911","20113","2011",10.912460108
"912","20115","2011",9.3591370558
"913","20117","2011",10.550413059
"914","20119","2011",11.409764125
"915","20121","2011",10.484768131
"916","20123","2011",12.836767036
