"","FIPS","YEAR","RDOMESTICMIG"
"620","17117","2011",-0.586166471
"621","17119","2011",-5.138062185
"622","17121","2011",-5.422814008
"623","17123","2011",-8.040121
"624","17125","2011",-8.927958245
"625","17127","2011",-4.174684453
"626","17129","2011",-0.787587619
"627","17131","2011",-4.950343774
"628","17133","2011",5.5884485259
"629","17135","2011",-5.70370741
"630","17137","2011",-0.986137721
"631","17139","2011",2.894161198
"632","17141","2011",-8.095569038
"633","17143","2011",-3.319248423
"634","17145","2011",-1.301090224
"635","17147","2011",-2.276266922
"636","17149","2011",-1.282756093
"637","17151","2011",10.254123941
"638","17153","2011",-21.3011889
"639","17155","2011",-5.505505506
"640","17157","2011",-0.986709324
"641","17159","2011",-2.470355731
"642","17161","2011",-5.503834722
"643","17163","2011",-5.458909217
"644","17165","2011",1.847055753
"645","17167","2011",2.212662579
"646","17169","2011",-5.467031135
"647","17171","2011",-16.10458507
"648","17173","2011",-3.629682739
"649","17175","2011",-19.13470494
"650","17177","2011",-5.30923111
"651","17179","2011",0.6191585341
"652","17181","2011",-1.91965672
"653","17183","2011",-3.753357783
"654","17185","2011",-10.12231126
"655","17187","2011",4.5008298405
"656","17189","2011",-8.877355914
"657","17191","2011",-4.610916495
"658","17193","2011",2.1242333916
"659","17195","2011",-3.887918337
"660","17197","2011",-4.743864418
"661","17199","2011",3.3792917005
"662","17201","2011",-9.522272708
"663","17203","2011",1.2386297658
"664","18001","2011",-11.6840086
"665","18003","2011",-0.405640359
"666","18005","2011",3.5612996801
"667","18007","2011",-2.483210113
"668","18009","2011",-9.438785543
"669","18011","2011",12.035077636
"670","18013","2011",-6.472278176
"671","18015","2011",-8.299786293
"672","18017","2011",-7.779104248
"673","18019","2011",3.8818861824
"674","18021","2011",-1.825259354
"675","18023","2011",-9.146479511
"676","18025","2011",-7.220216606
"677","18027","2011",0.3769436155
"678","18029","2011",-3.397655618
"679","18031","2011",0.2321083172
"680","18033","2011",0.4951078628
"681","18035","2011",0.0084901896
"682","18037","2011",2.6645413777
"683","18039","2011",-3.411416875
"684","18041","2011",-3.465703971
"685","18043","2011",1.7102353578
"686","18045","2011",-5.866465309
"687","18047","2011",-3.687715569
"688","18049","2011",-3.369272237
"689","18051","2011",-3.638044402
"690","18053","2011",-3.669751073
"691","18055","2011",-5.797188967
"692","18057","2011",13.013944533
"693","18059","2011",-0.398264704
"694","18061","2011",-4.814182735
"695","18063","2011",11.268829467
"696","18065","2011",-4.111558949
"697","18067","2011",-1.993367523
"698","18069","2011",0.9154057401
"699","18071","2011",3.438475843
"700","18073","2011",-5.110350702
"701","18075","2011",1.3642564802
"702","18077","2011",-2.814418482
"703","18079","2011",-13.48965322
"704","18081","2011",4.4254848353
"705","18083","2011",1.4831390508
"706","18085","2011",-4.706095298
"707","18087","2011",-5.4671169
"708","18089","2011",-5.42940213
"709","18091","2011",-2.899773764
"710","18093","2011",0.6287739991
"711","18095","2011",-6.145738536
"712","18097","2011",-3.367096081
"713","18099","2011",-4.343290255
"714","18101","2011",-3.382459531
"715","18103","2011",-5.908057556
"716","18105","2011",2.5753320493
"717","18107","2011",3.5585326286
"718","18109","2011",-1.300850612
"719","18111","2011",-8.3336276
"720","18113","2011",-5.446025246
"721","18115","2011",-3.13066403
"722","18117","2011",5.9860660479
"723","18119","2011",-4.645221229
"724","18121","2011",-13.09700515
"725","18123","2011",0.4635352287
"726","18125","2011",-9.559172065
"727","18127","2011",3.0121394675
"728","18129","2011",-8.185274265
"729","18131","2011",-5.875263634
"730","18133","2011",-2.639358108
"731","18135","2011",-5.899140028
"732","18137","2011",-7.553080404
"733","18139","2011",-3.749747613
"734","18141","2011",-5.484772539
"735","18143","2011",-10.52456425
"736","18145","2011",-2.709506983
"737","18147","2011",0.2865055869
"738","18149","2011",-7.653280592
"739","18151","2011",-3.256230107
"740","18153","2011",-7.463387157
"741","18155","2011",-9.742845098
"742","18157","2011",1.3984210451
"743","18159","2011",-3.155171326
"744","18161","2011",-6.385950908
"745","18163","2011",0.438511282
"746","18165","2011",0.6213495713
"747","18167","2011",0.8509929793
"748","18169","2011",-7.337766567
"749","18171","2011",-9.416750044
"750","18173","2011",2.3992002666
"751","18175","2011",-3.611386489
"752","18177","2011",-4.857298673
"753","18179","2011",-1.19090581
"754","18181","2011",-4.627092846
"755","18183","2011",-2.458365187
"756","19001","2011",-10.90311987
"757","19003","2011",-3.991518024
"758","19005","2011",-11.67832168
"759","19007","2011",-0.778089013
"760","19009","2011",-12.22938357
"761","19011","2011",-1.419691505
"762","19013","2011",-2.671781873
"763","19015","2011",-0.342472269
"764","19017","2011",2.4652806311
"765","19019","2011",-5.920974096
"766","19021","2011",-8.901566381
"767","19023","2011",5.0866742521
"768","19025","2011",-3.164556962
"769","19027","2011",-0.191920161
"770","19029","2011",-9.388654173
"771","19031","2011",-5.705281461
"772","19033","2011",-3.610846164
"773","19035","2011",-3.314825557
"774","19037","2011",-0.402982067
"775","19039","2011",-0.751193862
"776","19041","2011",-2.16665162
"777","19043","2011",-1.939219326
"778","19045","2011",-1.323855883
"779","19047","2011",-1.221391805
"780","19049","2011",29.960570482
"781","19051","2011",-5.35704109
"782","19053","2011",-19.55960881
"783","19055","2011",-9.210080235
"784","19057","2011",-5.155216855
"785","19059","2011",14.673864416
"786","19061","2011",2.8113429732
"787","19063","2011",-23.1770194
"788","19065","2011",5.1630174969
"789","19067","2011",-13.7020121
"790","19069","2011",-1.40193467
"791","19071","2011",-7.970280311
"792","19073","2011",-1.390820584
"793","19075","2011",0.4811354797
"794","19077","2011",-4.77151771
"795","19079","2011",-10.61093248
"796","19081","2011",0.0885386693
"797","19083","2011",-7.961509823
"798","19085","2011",-5.863916692
"799","19087","2011",6.3942105133
"800","19089","2011",-2.929789683
"801","19091","2011",0.2043527128
"802","19093","2011",1.8424036281
"803","19095","2011",-1.469777696
"804","19097","2011",-3.285815388
"805","19099","2011",-6.509246398
"806","19101","2011",3.7131995403
"807","19103","2011",3.4284896185
"808","19105","2011",1.2067966789
"809","19107","2011",-13.10628528
"810","19109","2011",-7.178658044
"811","19111","2011",-7.253073455
"812","19113","2011",5.1982569169
"813","19115","2011",-4.129508413
"814","19117","2011",-5.399932501
"815","19119","2011",3.9554581022
"816","19121","2011",-0.571809778
"817","19123","2011",0.1336035093
"818","19125","2011",-1.203097977
"819","19127","2011",1.0521808283
"820","19129","2011",-3.786746388
"821","19131","2011",-7.06910985
"822","19133","2011",5.7340690252
"823","19135","2011",9.9645014635
"824","19137","2011",-1.500797299
"825","19139","2011",-4.109988908
"826","19141","2011",-10.0607839
"827","19143","2011",-18.78669276
"828","19145","2011",0.439988686
"829","19147","2011",-2.026450512
"830","19149","2011",-8.876749744
"831","19151","2011",-7.037880356
"832","19153","2011",3.2465109765
"833","19155","2011",-2.91125489
"834","19157","2011",-1.850823617
"835","19159","2011",-5.313914584
"836","19161","2011",-7.776049767
"837","19163","2011",2.7116519685
"838","19165","2011",-12.00033104
"839","19167","2011",-2.154345581
"840","19169","2011",0.8075667902
"841","19171","2011",-5.830243682
"842","19173","2011",-0.633613179
"843","19175","2011",1.9944951933
"844","19177","2011",-7.952286282
"845","19179","2011",-8.430755396
"846","19181","2011",3.2908533634
"847","19183","2011",5.6538726729
"848","19185","2011",-13.79742866
"849","19187","2011",-4.495927219
"850","19189","2011",-11.60523628
"851","19191","2011",-0.664656871
"852","19193","2011",-4.514694697
"853","19195","2011",-1.452720549
"854","19197","2011",-10.14531447
"855","20001","2011",0.9733088758
"856","20003","2011",-5.073315597
"857","20005","2011",-7.617233992
"858","20007","2011",9.820971867
"859","20009","2011",-0.614028751
"860","20011","2011",-15.69201104
"861","20013","2011",-0.902708124
"862","20015","2011",-4.402644623
"863","20017","2011",3.2414910859
"864","20019","2011",-4.683840749
"865","20021","2011",-6.016089542
"866","20023","2011",-4.438690586
"867","20025","2011",-31.48877055
"868","20027","2011",-0.468466358
"869","20029","2011",-12.35480465
"870","20031","2011",-9.606373008
"871","20033","2011",2.1231422505
"872","20035","2011",-3.665881121
"873","20037","2011",-2.858017761
"874","20039","2011",1.3596193066
