FIPS,GDP_2018
36083,6929502
36085,14769541
36087,15235426
36089,4343016
36091,10928103
36093,7666834
36095,1035735
36097,486253
36099,1389706
36101,4147657
36103,87410357
36105,2785832
36107,1781985
36109,5623003
36111,6596617
36113,4019387
36115,1695727
36117,3658566
36119,72800462
36121,1638385
36123,888311
37001,5551297
37003,775065
37005,279738
37007,829888
37009,735353
37011,575608
37013,1923558
37015,602796
37017,1405772
37019,4390511
37021,13097839
37023,2468171
37025,6997373
37027,2232030
37029,137006
37031,2211798
37033,330437
37035,8233884
37037,1605131
37039,702449
37041,566475
37043,218279
37045,3779311
37047,1296843
37049,4300811
37051,15437728
37053,682710
37055,2052402
37057,4282134
37059,1278920
37061,2022718
37063,31003619
37065,1512376
37067,23191246
37069,1537817
37071,6963153
37073,171420
37075,204513
37077,3005612
37079,421960
37081,30766069
37083,1320703
37085,2354139
37087,1664255
37089,3610928
37091,721612
37093,981149
37095,151517
37097,8106773
37099,1340793
37101,6435128
37103,173113
37105,2597179
37107,2668491
37109,2517247
37111,1500035
37113,1356092
37115,368995
37117,622473
37119,99349989
37121,533806
37123,867804
37125,3249104
37127,4520064
37129,11723073
37131,495458
37133,6959813
37135,7953999
37137,255959
37139,1338849
37141,1359452
37143,249686
37145,1448959
37147,8498463
37149,410023
37151,3848275
37153,1883746
37155,3583455
37157,2758671
37159,4750497
37161,1631673
37163,1900764
37165,1033843
37167,1668141
37169,1005494
37171,2279366
37173,573446
37175,1516058
37177,108918
37179,7204240
37181,1146266
37183,75574136
37185,273018
37187,228924
37189,1967145
37191,4519737
37193,2263679
37195,3657803
37197,853491
37199,391212
38001,114179
38003,541608
38005,261236
38007,145982
38009,517596
38011,268254
38013,237882
38015,5195937
38017,11652533
38019,543745
38021,323627
38023,246680
38025,1519517
38027,164617
38029,168691
38031,238615
38033,83936
38035,3713817
38037,118287
38039,163189
38041,83419
38043,138481
38045,236893
38047,161458
38049,291098
38051,152271
38053,4176904
38055,801106
38057,1032406
38059,1365499
38061,2139571
38063,171520
38065,257091
38067,470715
38069,237373
38071,596276
38073,242075
38075,272209
38077,774272
38079,397769
38081,650559
38083,39202
38085,137040
38087,37540
38089,2636695
38091,123054
38093,1181827
38095,196613
38097,360723
38099,570692
38101,3777113
38103,306930
38105,5753787
39001,875797
39003,7559936
39005,1572702
39007,2841506
39009,1885188
39011,2193852
39013,3349472
39015,823801
39017,19752838
39019,1633831
39021,1068759
39023,4158588
39025,7844707
39027,2019267
39029,2814127
39031,1386831
39033,1171211
39035,86185278
39037,2208937
39039,1577380
39041,10831487
39043,4655000
39045,3966455
39047,2355312
39049,87171842
39051,1859029
39053,2077652
39055,4020499
39057,8902940
39059,2053673
39061,67257032
39063,4941427
39065,889159
39067,1136469
39069,1129785
39071,1108399
39073,578498
39075,2304883
39077,2096608
39079,916199
39081,3065900
39083,1999167
39085,10309011
39087,1525171
39089,5780372
39091,1928256
39093,9631291
39095,23707958
39097,1721241
39099,8416419
39101,2604609
39103,7096025
39105,344453
39107,2568617
39109,4014513
39111,1277021
39113,26322069
39115,276643
39117,594575
39119,3413815
39121,637459
39123,1867184
39125,550399
39127,703449
39129,1556374
39131,1047161
39133,5850218
39135,1074521
39137,1170297
39139,4291477
39141,2515853
39143,2797788
39145,2643653
39147,1714488
39149,2931431
39151,15532965
39153,27426609
39155,6571986
39157,3486929
39159,4048976
39161,1307235
39163,271338
39165,10711645
39167,3108889
39169,5747131
39171,1601670
39173,6563127
39175,955506
40001,452430
40003,258773
40005,298291
40007,401625
40009,1190956
40011,346487
40013,1429453
40015,805958
40017,4466605
40019,2807590
40021,1065134
40023,366669
40025,253437
40027,7538036
40029,128087
40031,4530048
40033,134319
40035,436178
40037,1854088
40039,1465865
40041,913502
40043,285931
40045,259497
40047,3188891
40049,1298046
40051,1314806
40053,353278
40055,94676
40057,78550
40059,315194
40061,344184
40063,612044
40065,903289
40067,123679
40069,378586
40071,1641887
40073,1073386
40075,214558
40077,355570
40079,1395159
40081,709277
40083,673763
40085,415690
40087,1005324
40089,965839
40091,315428
40093,366360
40095,415290
40097,1682800
40099,501511
40101,2705574
40103,625542
40105,177567
40107,197610
40109,65084694
40111,754290
40113,941386
40115,931630
40117,364224
