ID,NAME, Total,Occupied,Vacant
0500000US12037,"Franklin County, Florida",8347,4947,3400
0500000US12039,"Gadsden County, Florida",18929,16806,2123
0500000US12041,"Gilchrist County, Florida",7493,6551,942
0500000US12043,"Glades County, Florida",6491,4250,2241
0500000US12045,"Gulf County, Florida",8796,5571,3225
0500000US12047,"Hamilton County, Florida",5596,4690,906
0500000US12049,"Hardee County, Florida",9820,8059,1761
0500000US12051,"Hendry County, Florida",14971,12644,2327
0500000US12053,"Hernando County, Florida",89165,79773,9392
0500000US12055,"Highlands County, Florida",57486,44376,13110
0500000US12057,"Hillsborough County, Florida",602886,559949,42937
0500000US12059,"Holmes County, Florida",8622,7282,1340
0500000US12061,"Indian River County, Florida",83529,71177,12352
0500000US12063,"Jackson County, Florida",19882,17083,2799
0500000US12065,"Jefferson County, Florida",6690,5816,874
0500000US12067,"Lafayette County, Florida",3284,2727,557
0500000US12069,"Lake County, Florida",177628,156923,20705
0500000US12071,"Lee County, Florida",416332,318303,98029
0500000US12073,"Leon County, Florida",133478,121085,12393
0500000US12075,"Levy County, Florida",20868,17756,3112
0500000US12077,"Liberty County, Florida",3196,2491,705
0500000US12079,"Madison County, Florida",8315,6877,1438
0500000US12081,"Manatee County, Florida",206633,168437,38196
0500000US12083,"Marion County, Florida",177380,156906,20474
0500000US12085,"Martin County, Florida",81371,68750,12621
0500000US12086,"Miami-Dade County, Florida",1074685,967414,107271
0500000US12087,"Monroe County, Florida",53961,36436,17525
0500000US12089,"Nassau County, Florida",41628,35919,5709
0500000US12091,"Okaloosa County, Florida",101197,83957,17240
0500000US12093,"Okeechobee County, Florida",18484,14433,4051
0500000US12095,"Orange County, Florida",561851,519437,42414
0500000US12097,"Osceola County, Florida",154680,130574,24106
0500000US12099,"Palm Beach County, Florida",705988,607880,98108
0500000US12101,"Pasco County, Florida",256783,225214,31569
0500000US12103,"Pinellas County, Florida",516324,442789,73535
0500000US12105,"Polk County, Florida",316381,272418,43963
0500000US12107,"Putnam County, Florida",36014,29569,6445
0500000US12109,"St. Johns County, Florida",119090,104640,14450
0500000US12111,"St. Lucie County, Florida",147884,128997,18887
0500000US12113,"Santa Rosa County, Florida",75854,69454,6400
0500000US12115,"Sarasota County, Florida",253231,200211,53020
0500000US12117,"Seminole County, Florida",193790,182420,11370
0500000US12119,"Sumter County, Florida",75304,62907,12397
0500000US12121,"Suwannee County, Florida",18859,16385,2474
0500000US12123,"Taylor County, Florida",11088,8138,2950
0500000US12125,"Union County, Florida",4713,4271,442
0500000US12127,"Volusia County, Florida",272325,232301,40024
0500000US12129,"Wakulla County, Florida",13633,11970,1663
0500000US12131,"Walton County, Florida",56197,29981,26216
0500000US12133,"Washington County, Florida",10846,9124,1722
0500000US13001,"Appling County, Georgia",8496,7135,1361
0500000US13003,"Atkinson County, Georgia",3470,3064,406
0500000US13005,"Bacon County, Georgia",4807,4251,556
0500000US13007,"Baker County, Georgia",1447,1187,260
0500000US13009,"Baldwin County, Georgia",19988,16511,3477
0500000US13011,"Banks County, Georgia",7211,6652,559
0500000US13013,"Barrow County, Georgia",30019,28727,1292
0500000US13015,"Bartow County, Georgia",42435,40045,2390
0500000US13017,"Ben Hill County, Georgia",8124,7074,1050
0500000US13019,"Berrien County, Georgia",7991,7118,873
0500000US13021,"Bibb County, Georgia",71901,62762,9139
0500000US13023,"Bleckley County, Georgia",5176,4547,629
0500000US13025,"Brantley County, Georgia",8143,6915,1228
0500000US13027,"Brooks County, Georgia",7280,6359,921
0500000US13029,"Bryan County, Georgia",16703,15445,1258
0500000US13031,"Bulloch County, Georgia",32983,29747,3236
0500000US13033,"Burke County, Georgia",11138,9905,1233
0500000US13035,"Butts County, Georgia",9437,8460,977
0500000US13037,"Calhoun County, Georgia",2020,1671,349
0500000US13039,"Camden County, Georgia",22541,20374,2167
0500000US13043,"Candler County, Georgia",4629,4116,513
0500000US13045,"Carroll County, Georgia",46239,42859,3380
0500000US13047,"Catoosa County, Georgia",27971,26300,1671
0500000US13049,"Charlton County, Georgia",4660,3993,667
0500000US13051,"Chatham County, Georgia",134146,118480,15666
0500000US13053,"Chattahoochee County, Georgia",3242,2625,617
0500000US13055,"Chattooga County, Georgia",10854,9520,1334
0500000US13057,"Cherokee County, Georgia",100813,95916,4897
0500000US13059,"Clarke County, Georgia",55802,51641,4161
0500000US13061,"Clay County, Georgia",1961,1250,711
0500000US13063,"Clayton County, Georgia",114038,106200,7838
0500000US13065,"Clinch County, Georgia",3025,2587,438
0500000US13067,"Cobb County, Georgia",308504,291639,16865
0500000US13069,"Coffee County, Georgia",17331,15277,2054
0500000US13071,"Colquitt County, Georgia",19105,17172,1933
0500000US13073,"Columbia County, Georgia",58640,55449,3191
0500000US13075,"Cook County, Georgia",7258,6432,826
0500000US13077,"Coweta County, Georgia",56729,53596,3133
0500000US13079,"Crawford County, Georgia",5154,4679,475
0500000US13081,"Crisp County, Georgia",9854,8346,1508
0500000US13083,"Dade County, Georgia",7387,6354,1033
0500000US13085,"Dawson County, Georgia",11926,10313,1613
0500000US13087,"Decatur County, Georgia",13036,11466,1570
0500000US13089,"DeKalb County, Georgia",326101,302243,23858
0500000US13091,"Dodge County, Georgia",8533,7507,1026
0500000US13093,"Dooly County, Georgia",4762,4047,715
0500000US13095,"Dougherty County, Georgia",40560,35252,5308
0500000US13097,"Douglas County, Georgia",53885,51024,2861
0500000US13099,"Early County, Georgia",4918,4312,606
0500000US13101,"Echols County, Georgia",1531,1286,245
0500000US13103,"Effingham County, Georgia",24317,22892,1425
0500000US13105,"Elbert County, Georgia",9248,8016,1232
0500000US13107,"Emanuel County, Georgia",9962,8644,1318
0500000US13109,"Evans County, Georgia",4646,4099,547
0500000US13111,"Fannin County, Georgia",17643,11189,6454
0500000US13113,"Fayette County, Georgia",45202,42886,2316
0500000US13115,"Floyd County, Georgia",40475,36883,3592
0500000US13117,"Forsyth County, Georgia",87581,83551,4030
0500000US13119,"Franklin County, Georgia",10586,8951,1635
0500000US13121,"Fulton County, Georgia",494006,448577,45429
0500000US13123,"Gilmer County, Georgia",17717,12832,4885
0500000US13125,"Glascock County, Georgia",1403,1151,252
0500000US13127,"Glynn County, Georgia",42156,34339,7817
0500000US13129,"Gordon County, Georgia",22736,21210,1526
0500000US13131,"Grady County, Georgia",11539,10316,1223
0500000US13133,"Greene County, Georgia",10087,7874,2213
0500000US13135,"Gwinnett County, Georgia",330569,316708,13861
0500000US13137,"Habersham County, Georgia",18340,16408,1932
0500000US13139,"Hall County, Georgia",76865,71022,5843
0500000US13141,"Hancock County, Georgia",4896,3298,1598
0500000US13143,"Haralson County, Georgia",12292,11307,985
0500000US13145,"Harris County, Georgia",14212,12770,1442
0500000US13147,"Hart County, Georgia",12763,10388,2375
0500000US13149,"Heard County, Georgia",4742,4278,464
0500000US13151,"Henry County, Georgia",86594,82794,3800
0500000US13153,"Houston County, Georgia",66633,62115,4518
0500000US13155,"Irwin County, Georgia",4158,3617,541
0500000US13157,"Jackson County, Georgia",27699,26174,1525
0500000US13159,"Jasper County, Georgia",6270,5412,858
0500000US13161,"Jeff Davis County, Georgia",6351,5560,791
0500000US13163,"Jefferson County, Georgia",7148,6170,978
0500000US13165,"Jenkins County, Georgia",4066,3245,821
0500000US13167,"Johnson County, Georgia",3542,3100,442
0500000US13169,"Jones County, Georgia",11584,10623,961
0500000US13171,"Lamar County, Georgia",7561,6897,664
0500000US13173,"Lanier County, Georgia",4069,3570,499
0500000US13175,"Laurens County, Georgia",21924,19501,2423
0500000US13177,"Lee County, Georgia",12709,11971,738
0500000US13179,"Liberty County, Georgia",26564,23413,3151
0500000US13181,"Lincoln County, Georgia",4389,3245,1144
0500000US13183,"Long County, Georgia",6180,5492,688
0500000US13185,"Lowndes County, Georgia",48717,44207,4510
0500000US13187,"Lumpkin County, Georgia",13006,11676,1330
0500000US13189,"McDuffie County, Georgia",9390,8589,801
0500000US13191,"McIntosh County, Georgia",6615,4681,1934
0500000US13193,"Macon County, Georgia",5109,4299,810
0500000US13195,"Madison County, Georgia",12114,11267,847
0500000US13197,"Marion County, Georgia",3497,2969,528
0500000US13199,"Meriwether County, Georgia",9456,8396,1060
0500000US13201,"Miller County, Georgia",2851,2537,314
0500000US13205,"Mitchell County, Georgia",9036,8156,880
0500000US13207,"Monroe County, Georgia",11085,10257,828
0500000US13209,"Montgomery County, Georgia",3740,3157,583
0500000US13211,"Morgan County, Georgia",8318,7534,784
0500000US13213,"Murray County, Georgia",16038,14718,1320
0500000US13215,"Muscogee County, Georgia",90348,82360,7988
0500000US13217,"Newton County, Georgia",41756,39477,2279
0500000US13219,"Oconee County, Georgia",14998,14360,638
0500000US13221,"Oglethorpe County, Georgia",6343,5803,540
0500000US13223,"Paulding County, Georgia",59172,56911,2261
0500000US13225,"Peach County, Georgia",11991,10693,1298
0500000US13227,"Pickens County, Georgia",14896,13120,1776
